id,name,length,owners,suppliers,rfs,rfs_year,is_planned,url,notes,n_landing_points,countries
palapa-ring-east,Palapa Ring East,"6,300 km","Indonesian Government, Moratelindo, Telekom PT SmartFren",,2019 October,2019.0,False,,,18,Indonesia
palapa-ring-middle,Palapa Ring Middle,"2,100 km",Indonesian Government,HMN Tech,2018 December,2018.0,False,,,20,Indonesia
palapa-ring-west,Palapa Ring West,"1,980 km",Indonesian Government,,2018 February,2018.0,False,,,11,Indonesia
palawan-iloilo-cable-system,Palawan-Iloilo Cable System,300 km,PLDT,,2014 January,2014.0,False,,,2,Philippines
pan-american-crossing-pac,Pan-American Crossing (PAC),"10,000 km",Cirion Technologies,SubCom,2000 March,2000.0,False,https://www.ciriontechnologies.com,,5,"Costa Rica, Mexico, Panama, United States"
pan-european-crossing-uk-belgium,Pan European Crossing (UK-Belgium),117 km,Colt,,1999,1999.0,False,,,2,"Belgium, United Kingdom"
pan-european-crossing-uk-ireland,Pan European Crossing (UK-Ireland),495 km,Colt,,2000 September,2000.0,False,,,4,"Ireland, United Kingdom"
panam-south,PanAm South,"1,340 km","Corporacion Nacional de Telecomunicaciones (CNT), Liberty Networks","ASN, SubCom",1999,1999.0,False,,,2,"Ecuador, Panama"
paniolo-cable-network,Paniolo Cable Network,576 km,Hawaiian Telcom,,2009,2009.0,False,,,7,United States
pasela,PASELA,"1,100 km",Telkom Indonesia,"HMN Tech, PT. Lintas Teknologi Indonesia",2027 Q3,2027.0,True,,,2,Indonesia
pasuli,PASULI,40 km,"FiberStar, XLSmart",,2019 August,2019.0,False,,,2,Indonesia
patara-2,Patara-2,"1,200 km",Telin,NEC,2023 October,2023.0,False,,,3,Indonesia
peace-cable,PEACE Cable,"25,000 km",Peace Cable International Network Co. Ltd.,HMN Tech,2022 March,2022.0,False,http://www.peacecable.net,Cyta owns the branch to Cyprus which they market as Arsinoe. GO owns the branch to Malta which they market as LaValette. Ooredoo Tunisia owns the Tunisian branch which they market as IFRIQYA. Zain owns the branch to Jeddah which they market as J2M (Jeddah to Marseille). du owns a branch to the UAE that will be completed in 2026.,14,"Cyprus, Egypt, France, Kenya, Maldives, Malta, Pakistan, Saudi Arabia, Seychelles, Singapore, Somalia, Tunisia, United Arab Emirates"
penbal-4,Penbal-4,317 km,Telefonica,,1991,1991.0,False,,,3,Spain
penbal-5,Penbal-5,315 km,Telefonica,,1994,1994.0,False,,,2,Spain
pencan-8,Pencan-8,"1,400 km",Telefonica,ASN,2011,2011.0,False,,,2,Spain
pencan-9,Pencan-9,"1,398 km",Telefonica,,2016,2016.0,False,,,2,Spain
persona,Persona,800 km,Eastlink,Nexans,2008,2008.0,False,,,2,Canada
petropavlovsk-kamchatsky---anadyr,Petropavlovsk-Kamchatsky - Anadyr,"2,173 km",Rostelecom,HMN Tech,2022 December,2022.0,False,https://www.company.rt.ru/,,3,Russia
pgascom,PGASCOM,264 km,PGASCOM,,2010,2010.0,False,http://www.pgascom.co.id,The PGASCOM cable is comprised of fiber that is attached to a gas pipeline.,3,"Indonesia, Singapore"
philippine-domestic-submarine-cable-network-pdscn,Philippine Domestic Submarine Cable Network (PDSCN),"2,500 km","Eastern Telecom, Globe Telecom, Infinivan Inc.",Nexans,2023 April,2023.0,False,,,33,Philippines
piano-isole-minori,Piano Isole Minori,830 km,Infratel Italia,,2024 December,2024.0,False,https://www.infratelitalia.it/,,31,Italy
picot-1,Picot-1,,OPT,ASN,2008,2008.0,False,https://www.opt.nc/,,3,New Caledonia
pipe-pacific-cable-1-ppc-1,PIPE Pacific Cable-1 (PPC-1),"6,900 km",Vocus Communications,SubCom,2009 October,2009.0,False,http://www.vocus.com.au,,3,"Australia, Guam, Papua New Guinea"
pishgaman-oman-iran-poi-network,Pishgaman Oman Iran (POI) Network,400 km,Pishgaman Kavir,,2012 June,2012.0,False,http://www.poiconnections.com/,,3,"Iran, Oman"
pldt-domestic-fiber-optic-network-dfon,PLDT Domestic Fiber Optic Network (DFON),"11,100 km",PLDT,,1997,1997.0,False,http://www.pldt.com.ph,,13,Philippines
png-lng,PNG LNG,200 km,Telikom Papua New Guinea,,2014,2014.0,False,,,2,Papua New Guinea
polar-circle-cable,Polar Circle Cable,"1,004 km",KystTele,,2007 September,2007.0,False,http://www.kysttele.no,,7,Norway
polar-express,Polar Express,"12,650 km",Russian Government,JSC Optic Fiber Systems,2022 October,2022.0,False,https://xn--e1ahdckegffejda6k5a1a.xn--p1ai/en/,The first phase linking Teriberka and Amderma was completed in October 2022. The remaining portions are scheduled to be in service between 2026 and 2028.,10,Russia
portsmouth-ryde-10,Portsmouth-Ryde 10,,BT,Hexatronic,2015,2015.0,False,,,2,United Kingdom
portsmouth-ryde-11,Portsmouth-Ryde 11,,BT,Hexatronic,2015,2015.0,False,,,2,United Kingdom
poseidon,POSEIDON,800 km,"Ocean Specialists, Inc (OSI)",,2014 April,2014.0,False,,,2,Cyprus
prat,Prat,"3,500 km",Grupo Gtd,Prysmian,2020 Q2,2020.0,False,https://www.gtd.cl,,12,Chile
proa,Proa,"2,891 km",Google,NEC,2026,2026.0,True,https://cloud.google.com,,3,"Guam, Japan, Northern Mariana Islands"
project-waterworth,Project Waterworth,"50,000 km",Meta,,,,True,https://about.meta.com/,,9,"Australia, Brazil, India, Malaysia, South Africa, United States"
projeto-amaznia-conectada-pac-01,Projeto Amazônia Conectada (PAC 01),800 km,Government of Brazil,,2017,2017.0,False,,PAC 01 was laid in the Amazon riverbed in a pilot initiative coordinated by the Brazilian Ministry of Defense.,6,Brazil
projeto-amaznia-conectada-pac-02,Projeto Amazônia Conectada (PAC 02),"1,001 km",Government of Brazil,,2021,2021.0,False,,PAC 02 was laid under Rio Negro through an interagency effort coordinated by the Brazilian Ministry of Defense.,5,Brazil
qatar-u-a-e-submarine-cable-system,Qatar-U.A.E. Submarine Cable System,100 km,"Ooredoo, e&",,2004 December,2004.0,False,,,4,"Qatar, United Arab Emirates"
qe-north,Q&E North,112 km,EXA Infrastructure,,2025,2025.0,False,https://exainfra.net/,,2,"Belgium, United Kingdom"
qe-south,Q&E South,141 km,euNetworks,,2026 Q2,2026.0,True,,,2,"France, United Kingdom"
quintillion-subsea-cable-network,Quintillion Subsea Cable Network,"1,900 km",Quintillion,ASN,2017 December,2017.0,False,https://www.quintillionglobal.com/,,6,United States
r100-north,R100 North,224 km,BT,Nexans,2023 Q1,2023.0,False,https://www.scotlandsuperfast.com/r100-programme/r100-subsea-deployment/,,31,United Kingdom
raman,Raman,"7,376 km","Google, Sparkle, Zain Omantel International",ASN,2026,2026.0,True,,,6,"Djibouti, India, Jordan, Oman, Saudi Arabia"
red-hook-little-saint-james,Red Hook-Little Saint James,5 km,Virgin Islands Water and Power Authority,Prysmian,2005,2005.0,False,,,2,Virgin Islands (U.S.)
red2med,Red2Med,420 km,Telecom Egypt,ASN,2023 Q1,2023.0,False,https://www.te.eg/interactivemap/#/the-digital-hub,,4,Egypt
rising-8,RISING 8,"1,104 km","Moratelindo, Triasmitra",ASN,2026 Q1,2026.0,True,,,3,"Indonesia, Singapore"
rnne-rdvig,Rønne-Rødvig,153 km,TDC Group,,1989,1989.0,False,,,2,Denmark
rockabill,Rockabill,221 km,euNetworks,,2019 November,2019.0,False,http://www.eunetworks.com,,2,"Ireland, United Kingdom"
rompin-tioman-island,Rompin-Tioman Island,75 km,Telekom Malaysia,,2018,2018.0,False,,,2,Malaysia
romsar-2,ROMSAR 2,,Sparkle,,1996,1996.0,False,,,4,Italy
romulo,Romulo,237 km,Red Electrica,,2011,2011.0,False,https://www.ree.es/,"Romulo is a power cable, which has optical fiber attached to it.",2,Spain
roquetas-melilla-cam,Roquetas-Melilla (CAM),181 km,Telefonica,,2014 January,2014.0,False,https://www.telefonica.com/,,2,Spain
ruppione-isolella,Ruppione-Isolella,62 km,Corsica Haut Débit,,2007,2007.0,False,,,2,France
russia-japan-cable-network-rjcn,Russia-Japan Cable Network (RJCN),"1,800 km","KDDI, Rostelecom",NEC,2008 September,2008.0,False,,,2,"Japan, Russia"
